Index,Title,Description,Area of News,positive,neutral,negative,intensity
0,"भास्कर एक्सक्लूसिवकोलकाता रेप-मर्डर केस…आरोपी की वकील बोलीं- वो कुछ छिपा रहा: CCTV फुटेज गुनाह का पक्का सबूत नहीं, CBI सपोर्ट नहीं कर रही",,,0.05112270265817642,0.8094298243522644,0.13944749534130096,-0.09
1,"भास्कर एक्सक्लूसिवकोलकाता रेप-मर्डर केस…आरोपी की वकील बोलीं- वो कुछ छिपा रहा: CCTV फुटेज गुनाह का पक्का सबूत नहीं, CBI सपोर्ट नहीं कर रही",,,0.05112270265817642,0.8094298243522644,0.13944749534130096,-0.09
2,"केदारनाथ में एयरलिफ्ट किया जा रहा हेलिकॉप्टर गिरा: दूसरे हेलिकॉप्टर से लटकाया गया था, हवा में बैलेंस बिगड़ा तो पायलट ने ड्रॉप कर दिया",,,0.05595625191926956,0.784838855266571,0.15920490026474,-0.1
3,"केदारनाथ में एयरलिफ्ट किया जा रहा हेलिकॉप्टर गिरा: दूसरे हेलिकॉप्टर से लटकाया गया था, हवा में बैलेंस बिगड़ा तो पायलट ने ड्रॉप कर दिया",,,0.05595625191926956,0.784838855266571,0.15920490026474,-0.1
4,"भास्कर एक्सप्लेनर- मौलवी के पास शादी का रजिस्ट्रेशन जरूरी नहीं: असम का नया मुस्लिम मैरिज बिल क्या है, जिसका विरोध कर रहा मुस्लिम समुदाय",,,0.05323157459497452,0.8013068437576294,0.14546166360378265,-0.09
5,"भास्कर एक्सप्लेनर- मौलवी के पास शादी का रजिस्ट्रेशन जरूरी नहीं: असम का नया मुस्लिम मैरिज बिल क्या है, जिसका विरोध कर रहा मुस्लिम समुदाय",,,0.05323157459497452,0.8013068437576294,0.14546166360378265,-0.09
6,"कंगना बोलीं- मेरी फिल्म इमरजेंसी पर रोक: 6 सितंबर को रिलीज होनी थी; एक्ट्रेस बोलीं- सर्टिफिकेट नहीं मिला, सेंसर बोर्ड वालों को धमकियां मिल रहीं",,,0.05304249748587608,0.8379794359207153,0.10897807031869888,-0.06
7,"देश का मानसून ट्रैकर: गुजरात में बाढ़, मानसून सीजन में औसत से 50% ज्यादा बारिश; हिमाचल में लैंडस्लाइड से 40 सड़कें बंद",,,0.049595851451158524,0.7956693172454834,0.1547347605228424,-0.11
8,"ममता के दूसरे लेटर पर केंद्र का जवाब: रेप मामलों में फांसी का प्रावधान पहले से है, ममता ने कड़े कानून बनाने की मांग की थी",,,0.056808777153491974,0.7987889647483826,0.14440223574638367,-0.09
9,"स्पॉटलाइट- मोहम्मद बिन सलमान की कहानी: सऊदी क्राउन प्रिंस जिसने परिवार के लोगों को आलीशान होटल में कैद कर ‘टॉर्चर किया’, चर्चित किस्से",,,0.05077415704727173,0.7996469736099243,0.1495787799358368,-0.1
10,"एक्ट्रेस जिसने हथौड़े से बॉयफ्रेंड का सिर फोड़ा: पति के सामने ही प्रेमी की हत्या कर दी, अगले दिन खुद पुलिस स्टेशन पहुंची",,,0.05220143124461174,0.8205536603927612,0.12724484503269196,-0.08
11,मॉर्निंग न्यूज ब्रीफ: महाराष्ट्र में मोदी बोले- मैं माफी मांगता हूं; ममता की मोदी को फिर चिट्ठी; एक UPI अकाउंट से 5 लोग पेमेंट कर सकेंगे,,,0.04589862376451492,0.7960953712463379,0.15800605714321136,-0.11
12,कोलकाता रेप-मर्डर; विरोध करने वाला छात्र रिहा: हाईकोर्ट बोला- गिरफ्तारी सही नहीं; बंगाल में केंद्र के खिलाफ TMC का प्रदर्शन आज,,,0.04668062925338745,0.7621999382972717,0.19111938774585724,-0.14
13,"BCCI इम्पैक्ट प्लेयर, 2 बाउंसर नियमों का रिव्यू करेगा: दोनों नियम सिर्फ IPL में लागू, नवंबर से डोमेस्टिक क्रिकेट में भी लाने की तैयारी",,,0.06270603835582733,0.8469733595848083,0.09032057970762253,-0.03
14,"एक UPI अकाउंट से 5 लोग कर सकेंगे पेमेंट: सरकार ने लॉन्च किया UPI सर्किल, इसमें एक महीने में ₹15,000 तक ट्रांजैक्शन की लिमिट",,,0.05481000617146492,0.8566653728485107,0.08852452784776688,-0.03
15,"पतंजलि के मंजन में नॉनवेज मटेरियल होने का दावा: दिल्ली हाईकोर्ट में याचिका लगाई, कोर्ट ने रामदेव से जवाब मांगा",,,0.06429033726453781,0.796249508857727,0.13946016132831573,-0.08
16,"पुतिन जाएंगे मंगोलिया, सवाल- क्या उनकी गिरफ्तारी होगी: इंटरनेशनल कोर्ट ने कार्रवाई का आदेश दिया, रूस ने कहा- हमें फिक्र नहीं",,,0.052991848438978195,0.8101646900177002,0.1368434578180313,-0.08
17,"सेहतनामा- भोजन, भजन और चिकित्सा तीनों से शहद का रिश्ता: घाव, मुंहासे से दिल-दिमाग तक, सबके लिए लाभकारी, 10 बड़े फायदे",,,0.05114800110459328,0.8094792366027832,0.139372780919075,-0.09
18,"राजकुमार राव ने मां की पायल को संभालकर रखा: बोले- वह हमेशा मेरी आंखों के सामने रहती है, स्त्री का जन्मदिन से खास कनेक्शन है",,,0.05347452685236931,0.7936739921569824,0.15285152196884155,-0.1
19,'बिग बॉस' कंट्रोवर्सी पर बोले अनूप जलोटा...किया कन्यादान: लखनऊ की बेटी को बताया 'आवाज का पटाखा'; भोजपुरी पर कहा- अश्लीलता से बचें,,,0.0574442557990551,0.8460638523101807,0.09649188816547394,-0.04
20,"जब फेलियर से डील नहीं कर पाए राजेश खन्ना: कहा था- डिंपल को लगा कि पागल हो गया हूं, शराब की लत लग गई थी",,,0.05391306430101395,0.7969598174095154,0.14912712574005127,-0.1
21,"रिलेशनशिप- क्या आप भी हर छोटी-छोटी बात भूलने लगे हैं कैसे बढ़ाएं मेमोरी, हेल्दी लाइफस्टाइल जरूरी, साइकोलॉजिस्ट के 10 जरूरी सुझाव",,,0.05703665688633919,0.8371579647064209,0.10580538213253021,-0.05
22,"जरूरत की खबर-5 लोग कर सकेंगे एक UPI का इस्तेमाल: आया नया फीचर UPI सर्किल, बिना बैंक अकाउंट के चलेगा UPI",,,0.060760583728551865,0.8284582495689392,0.11078114807605743,-0.05
23,"सेहतनामा- क्या धरती से पूरी तरह खत्म हो जाएंगे पुरुष: मेल जेंडर के लिए जरूरी Y क्रोमोजोम विलुप्ति की ओर, क्या कहती है स्टडी",,,0.05492367967963219,0.7937224507331848,0.15135395526885986,-0.1
24,"करक्शन के साथ आवेदन फार्म भी कर सकेंगे विड्रो: आज से करें अप्लाई, 6 सितम्बर लास्ट डेट; प्रोग्रामर एग्जाम 27 अक्टूबर को",,,0.05464201048016548,0.8281137943267822,0.11724428832530975,-0.06
25,"सरकारी नौकरी: झारखंड फील्ड वर्कर भर्ती परीक्षा के लिए आवेदन की आखिरी तारीख आज, 10वीं पास तुरंत करें अप्लाई",,,0.058074455708265305,0.8194100260734558,0.12251550704240799,-0.06
26,"देश के टॉप 10 डेंटल कॉलेज: लगातार तीसरी बार पहले नंबर पर चेन्नई का सविता इंस्टीट्यूट, जामिया मिलिया इस्लामिया 8वें रैंक पर",,,0.054290324449539185,0.8317945599555969,0.11391518265008926,-0.06
27,वॉरेन बफेट क्यों रखते हैं 16 लाख करोड़ कैश: सबसे बड़े इन्वेस्टर ने 50 की उम्र के बाद बनाई 99% संपत्ति; नाश्ते में लेते हैं बर्गर और कोक,,,0.050790462642908096,0.8434363007545471,0.10577332973480225,-0.05
